date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,Volume,BuyAmount,SellAmount,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,Dealer_Hedging_buy,Dealer_self_buy,Foreign_Investor_buy,Investment_Trust_buy,Dealer_Hedging_sell,Dealer_self_sell,Foreign_Investor_sell,Investment_Trust_sell
2000-01-04,2330,35125000,6248459000,178.0,178.0,175.0,178.0,11.0,10232,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-05,2330,70449937,12635715903,178.0,182.0,176.0,182.0,4.0,20298,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-06,2330,34579454,6197016418,181.0,182.0,178.0,178.0,-4.0,10963,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-07,2330,41182975,7102141796,172.0,175.0,170.0,173.0,-5.0,14454,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-10,2330,48342563,8595889920,178.0,180.0,175.0,179.0,6.0,15336,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-11,2330,48622260,8716358873,181.0,183.0,175.0,176.0,-3.0,13493,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-12,2330,37852991,6782348965,177.0,181.0,176.0,181.0,5.0,11553,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-13,2330,25817607,4625944862,181.0,181.0,178.0,178.0,-3.0,7905,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-14,2330,50468880,9176538106,180.0,185.0,179.0,182.0,4.0,15290,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-15,2330,47479351,8895778529,188.0,189.0,186.0,188.0,6.0,15313,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-17,2330,27177000,5120726000,190.0,190.0,187.0,187.0,-1.0,8422,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-18,2330,23044370,4258174220,187.0,187.0,183.0,184.0,-3.0,8446,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-19,2330,23604632,4361593601,184.0,187.0,183.0,184.0,0.0,6565,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-20,2330,22013379,4017797167,184.0,184.0,181.0,182.0,-2.0,6553,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-21,2330,19849691,3667487736,182.0,186.0,182.0,186.0,4.0,5831,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-24,2330,30652737,5801914452,188.0,191.0,187.0,188.0,2.0,9263,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-25,2330,39156262,7519699912,193.0,193.0,190.0,193.0,5.0,12534,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-26,2330,62645393,12848672209,199.0,206.0,199.0,206.0,13.0,17205,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-27,2330,50400312,10470256643,208.0,211.0,204.0,208.0,2.0,14702,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-28,2330,34642311,7029550607,201.0,204.0,201.0,204.0,-4.0,11111,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-29,2330,25714366,5117190267,198.0,200.0,198.0,200.0,-4.0,10605,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-31,2330,29418000,5875653000,198.0,204.0,197.0,203.0,3.0,8250,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-01,2330,26796268,5431713193,205.0,205.0,201.0,202.0,-1.0,8149,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-09,2330,44213000,9319805000,214.0,214.0,207.0,211.0,9.0,12320,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-10,2330,31077647,6533171441,209.0,215.0,207.0,214.0,3.0,9795,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-11,2330,37639626,8196292947,217.0,222.0,215.0,219.0,5.0,11655,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-14,2330,24559084,5289888244,218.0,218.0,214.0,214.0,-5.0,8744,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-15,2330,18398187,3939646599,214.0,217.0,212.0,215.0,1.0,6583,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-16,2330,13890254,2966491450,215.0,216.0,213.0,213.0,-2.0,5549,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-17,2330,20375321,4308298771,211.0,213.0,210.0,211.0,-2.0,6796,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-18,2330,21321415,4484152456,212.0,214.0,207.0,208.0,-3.0,7995,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-19,2330,15672224,3219488511,205.0,207.0,205.0,205.0,-3.0,7190,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-21,2330,26940000,5367138000,203.0,203.0,195.0,195.0,-10.0,10989,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-22,2330,29432755,5716966627,192.0,198.0,190.0,195.0,0.0,11485,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-23,2330,12934559,2508331636,195.0,195.0,193.0,194.0,-1.0,5314,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-24,2330,14593726,2847857923,195.0,197.0,194.0,195.0,1.0,5235,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-25,2330,29021944,5740610131,195.0,200.0,195.0,199.0,4.0,8012,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-29,2330,17285602,3485769196,200.0,203.0,200.0,201.0,2.0,5778,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-01,2330,15842469,3249997668,205.0,206.0,204.0,206.0,5.0,5591,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-02,2330,12033610,2460144604,207.0,208.0,203.0,203.0,-3.0,4223,,,,,,,,,,,,,,,,,,,,,,,,
